"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1734269","Tyler  Sondag and Kian L. Pokorny and Hridesh  Rajan","","","","Frances: A Tool for Understanding Code Generation","12--16","","5","code generation, compilers, frances, visualization","10.1145/1734263.1734269","","","","","","","2010","","Proceedings of the 41st ACM Technical Symposium on Computer Science Education","SIGCSE '10","","978-1-4503-0006-3","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
"article","3064216","Marios  Pomonis and Theofilos  Petsios and Angelos D. Keromytis and Michalis  Polychronakis and Vasileios P. Kemerlis","","","","kR^X: Comprehensive Kernel Protection Against Just-In-Time Code Reuse","420--436","","17","Code diversification, Execute-only memory","10.1145/3064176.3064216","","","","","","","2017","","Proceedings of the Twelfth European Conference on Computer Systems","EuroSys '17","","978-1-4503-4938-3","Belgrade, Serbia","ACM","New York, NY, USA"
"article","3265776","Peter  Donaldson and Quintin  Cutts","","","","Flexible Low-cost Activities to Develop Novice Code Comprehension Skills in Schools","19:1--19:4","19","4","block model, formative assessment, notional machine, program comprehension","10.1145/3265757.3265776","","","","","","","2018","","Proceedings of the 13th Workshop in Primary and Secondary Computing Education","WiPSCE '18","","978-1-4503-6588-8","Potsdam, Germany","ACM","New York, NY, USA"
"article","1774576","Carmine  Gravino and Genoveffa  Tortora and Giuseppe  Scanniello","","","","An Empirical Investigation on the Relation Between Analysis Models and Source Code Comprehension","2365--2366","","2","UML, controlled experiment, software maintenance","10.1145/1774088.1774576","","","","","","","2010","","Proceedings of the 2010 ACM Symposium on Applied Computing","SAC '10","","978-1-60558-639-7","Sierre, Switzerland","ACM","New York, NY, USA"
"article","3309504","Alaaeddin  Swidan and Felienne  Hermans","","","","The Effect of Reading Code Aloud on Comprehension: An Empirical Study with School Students","178--184","","7","bloom's taxonomy, primary school, programming education, reading aloud (RA)","10.1145/3300115.3309504","","","","","","","2019","","Proceedings of the ACM Conference on Global Computing Education","CompEd '19","","978-1-4503-6259-7","Chengdu,Sichuan, China","ACM","New York, NY, USA"
"article","2016641","Shah M. Faizur Rahman and Qing  Yi and Apan  Qasem","","","","Understanding Stencil Code Performance on Multicore Architectures","30:1--30:10","30","10","","10.1145/2016604.2016641","","","","","","","2011","","Proceedings of the 8th ACM International Conference on Computing Frontiers","CF '11","","978-1-4503-0698-0","Ischia, Italy","ACM","New York, NY, USA"
"article","2858372","Dimitar  Asenov and Otmar  Hilliges and Peter  M&#252;ller","","","","The Effect of Richer Visualizations on Code Comprehension","5040--5045","","6","code comprehension, code editor, programming, syntax highlighting, user study, visual programming","10.1145/2858036.2858372","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","1987882","Julio A. Hurtado Alegr&#237;a and Mar&#237;a Cecilia Bastarrica and Alexandre  Bergel","","","","Analyzing Software Process Models with AVISPA","23--32","","10","model-driven engineering, quality assessment, software process models","10.1145/1987875.1987882","","","","","","","2011","","Proceedings of the 2011 International Conference on Software and Systems Process","ICSSP '11","","978-1-4503-0730-7","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","2578218","Rachel  Turner and Michael  Falcone and Bonita  Sharif and Alina  Lazar","","","","An Eye-tracking Study Assessing the Comprehension of C++ and Python Source Code","231--234","","4","C++, Python, eye-tracking study, reading source code","10.1145/2578153.2578218","","","","","","","2014","","Proceedings of the Symposium on Eye Tracking Research and Applications","ETRA '14","","978-1-4503-2751-0","Safety Harbor, Florida","ACM","New York, NY, USA"
"article","3279722","Roman  Bednarik and Carsten  Schulte and Lea  Budde and Birte  Heinemann and Hana  Vrzakova","","","","Eye-movement Modeling Examples in Source Code Comprehension: A Classroom Study","2:1--2:8","2","8","classroom, eye-tracking, gaze guidance, source code","10.1145/3279720.3279722","","","","","","","2018","","Proceedings of the 18th Koli Calling International Conference on Computing Education Research","Koli Calling '18","","978-1-4503-6535-2","Koli, Finland","ACM","New York, NY, USA"
